i: 1, j: 2, kIndex: 7, s: -3.00, tVec[2]: 0.00, c: 0.00, r: 0.00, matrixXY[7]: 0.00
i: 0, j: 5, kIndex: 5, s: -1.50, tVec[5]: -0.33, c: 0.50, r: -2.00, matrixXY[5]: -0.50
i: 2, j: 3, kIndex: 12, s: 1.00, tVec[3]: 0.00, c: 0.00, r: 0.00, matrixXY[12]: 0.00
i: 2, j: 4, kIndex: 13, s: 1.00, tVec[4]: 0.00, c: 0.00, r: 0.00, matrixXY[13]: 0.00
i: 2, j: 5, kIndex: 14, s: 1.00, tVec[5]: -1.00, c: 0.00, r: 0.00, matrixXY[14]: -1.00
i: 0, j: 1, kIndex: 1, s: 1.00, tVec[1]: 0.00, c: 0.33, r: 0.00, matrixXY[1]: 0.00
i: 0, j: 2, kIndex: 2, s: 1.00, tVec[2]: -0.33, c: 0.33, r: -0.50, matrixXY[2]: -0.50
i: 0, j: 3, kIndex: 3, s: 1.00, tVec[3]: 0.00, c: 0.33, r: 0.00, matrixXY[3]: 0.00
i: 0, j: 4, kIndex: 4, s: 1.00, tVec[4]: 0.00, c: 0.33, r: 0.00, matrixXY[4]: 0.00
i: 0, j: 5, kIndex: 5, s: 1.00, tVec[5]: -0.33, c: 0.33, r: -0.50, matrixXY[5]: -0.50
i: 2, j: 3, kIndex: 12, s: 0.00, tVec[3]: 0.00, c: 1.00, r: 0.00, matrixXY[12]: 0.00
i: 2, j: 4, kIndex: 13, s: 0.00, tVec[4]: 0.00, c: 1.00, r: 0.00, matrixXY[13]: 0.00
i: 2, j: 5, kIndex: 14, s: 0.00, tVec[5]: 0.00, c: 1.00, r: -1.00, matrixXY[14]: -1.00
i: 3, j: 4, kIndex: 16, s: -0.55, tVec[4]: 0.67, c: 0.82, r: 0.00, matrixXY[16]: -0.36
i: 3, j: 5, kIndex: 17, s: -0.55, tVec[5]: 0.00, c: 0.82, r: 0.00, matrixXY[17]: 0.00
i: 4, j: 5, kIndex: 19, s: 1.50, tVec[5]: 0.00, c: 0.00, r: 0.00, matrixXY[19]: 0.00
i: 3, j: 4, kIndex: 16, s: -0.46, tVec[4]: -0.33, c: 0.85, r: -0.36, matrixXY[16]: -0.15
i: 3, j: 5, kIndex: 17, s: -0.46, tVec[5]: 0.00, c: 0.85, r: 0.00, matrixXY[17]: 0.00
i: 4, j: 5, kIndex: 19, s: -0.71, tVec[5]: 0.00, c: 0.68, r: 0.00, matrixXY[19]: 0.00
i: 3, j: 4, kIndex: 16, s: 0.57, tVec[4]: -0.33, c: 0.62, r: -0.15, matrixXY[16]: -0.29
i: 3, j: 5, kIndex: 17, s: 0.57, tVec[5]: 0.00, c: 0.62, r: 0.00, matrixXY[17]: 0.00
i: 4, j: 5, kIndex: 19, s: -0.25, tVec[5]: 0.00, c: 0.94, r: 0.00, matrixXY[19]: 0.00
i: 2, j: 3, kIndex: 12, s: 0.71, tVec[3]: 0.00, c: 0.53, r: 0.00, matrixXY[12]: 0.00
i: 2, j: 4, kIndex: 13, s: 0.71, tVec[4]: -0.33, c: 0.53, r: 0.00, matrixXY[13]: -0.24
i: 2, j: 5, kIndex: 14, s: 0.71, tVec[5]: -0.33, c: 0.53, r: -1.00, matrixXY[14]: -0.76
i: 4, j: 5, kIndex: 19, s: -0.28, tVec[5]: 0.33, c: 0.91, r: 0.00, matrixXY[19]: -0.09
i: 2, j: 3, kIndex: 12, s: -0.32, tVec[3]: 0.00, c: 0.89, r: 0.00, matrixXY[12]: 0.00
i: 2, j: 4, kIndex: 13, s: -0.32, tVec[4]: 0.67, c: 0.89, r: -0.24, matrixXY[13]: -0.42
i: 2, j: 5, kIndex: 14, s: -0.32, tVec[5]: -0.33, c: 0.89, r: -0.76, matrixXY[14]: -0.58
i: 4, j: 5, kIndex: 19, s: 0.56, tVec[5]: -0.59, c: 0.67, r: -0.09, matrixXY[19]: -0.39
i: 2, j: 3, kIndex: 12, s: -0.29, tVec[3]: 0.00, c: 0.90, r: 0.00, matrixXY[12]: 0.00
i: 2, j: 4, kIndex: 13, s: -0.29, tVec[4]: -0.33, c: 0.90, r: -0.42, matrixXY[13]: -0.29
i: 2, j: 5, kIndex: 14, s: -0.29, tVec[5]: 0.67, c: 0.90, r: -0.58, matrixXY[14]: -0.71
i: 4, j: 5, kIndex: 19, s: -0.37, tVec[5]: 0.47, c: 0.82, r: -0.39, matrixXY[19]: -0.50
i: 0, j: 1, kIndex: 1, s: -0.43, tVec[1]: 0.67, c: 0.86, r: 0.00, matrixXY[1]: -0.29
i: 0, j: 2, kIndex: 2, s: -0.43, tVec[2]: 0.00, c: 0.86, r: -0.50, matrixXY[2]: -0.43
i: 0, j: 3, kIndex: 3, s: -0.43, tVec[3]: 0.00, c: 0.86, r: 0.00, matrixXY[3]: 0.00
i: 0, j: 4, kIndex: 4, s: -0.43, tVec[4]: 0.00, c: 0.86, r: 0.00, matrixXY[4]: 0.00
i: 0, j: 5, kIndex: 5, s: -0.43, tVec[5]: 0.00, c: 0.86, r: -0.50, matrixXY[5]: -0.43
i: 1, j: 2, kIndex: 7, s: 0.55, tVec[2]: -0.17, c: 0.64, r: 0.00, matrixXY[7]: -0.09
i: 1, j: 3, kIndex: 8, s: 0.55, tVec[3]: 0.00, c: 0.64, r: -0.50, matrixXY[8]: -0.32
i: 1, j: 4, kIndex: 9, s: 0.55, tVec[4]: 0.00, c: 0.64, r: 0.00, matrixXY[9]: 0.00
i: 1, j: 5, kIndex: 10, s: 0.55, tVec[5]: -0.17, c: 0.64, r: 0.00, matrixXY[10]: -0.09
i: 2, j: 3, kIndex: 12, s: -0.08, tVec[3]: 0.33, c: 0.99, r: 0.00, matrixXY[12]: -0.03
i: 2, j: 4, kIndex: 13, s: -0.08, tVec[4]: 0.00, c: 0.99, r: -0.29, matrixXY[13]: -0.28
i: 2, j: 5, kIndex: 14, s: -0.08, tVec[5]: -0.17, c: 0.99, r: -0.71, matrixXY[14]: -0.69
i: 3, j: 4, kIndex: 16, s: 0.15, tVec[4]: -0.05, c: 0.95, r: -0.29, matrixXY[16]: -0.28
i: 3, j: 5, kIndex: 17, s: 0.15, tVec[5]: -0.29, c: 0.95, r: 0.00, matrixXY[17]: -0.04
i: 4, j: 5, kIndex: 19, s: 0.02, tVec[5]: -0.29, c: 1.00, r: -0.50, matrixXY[19]: -0.51
i: 0, j: 1, kIndex: 1, s: 0.55, tVec[1]: -0.33, c: 0.64, r: -0.29, matrixXY[1]: -0.36
i: 0, j: 2, kIndex: 2, s: 0.55, tVec[2]: 0.00, c: 0.64, r: -0.43, matrixXY[2]: -0.27
i: 0, j: 3, kIndex: 3, s: 0.55, tVec[3]: 0.00, c: 0.64, r: 0.00, matrixXY[3]: 0.00
i: 0, j: 4, kIndex: 4, s: 0.55, tVec[4]: 0.00, c: 0.64, r: 0.00, matrixXY[4]: 0.00
i: 0, j: 5, kIndex: 5, s: 0.55, tVec[5]: 0.00, c: 0.64, r: -0.43, matrixXY[5]: -0.27
i: 1, j: 2, kIndex: 7, s: -0.09, tVec[2]: 0.29, c: 0.99, r: -0.09, matrixXY[7]: -0.11
i: 1, j: 3, kIndex: 8, s: -0.09, tVec[3]: 0.00, c: 0.99, r: -0.32, matrixXY[8]: -0.31
i: 1, j: 4, kIndex: 9, s: -0.09, tVec[4]: 0.00, c: 0.99, r: 0.00, matrixXY[9]: 0.00
i: 1, j: 5, kIndex: 10, s: -0.09, tVec[5]: 0.29, c: 0.99, r: -0.09, matrixXY[10]: -0.11
i: 2, j: 3, kIndex: 12, s: 0.14, tVec[3]: -0.05, c: 0.96, r: -0.03, matrixXY[12]: -0.03
i: 2, j: 4, kIndex: 13, s: 0.14, tVec[4]: 0.00, c: 0.96, r: -0.28, matrixXY[13]: -0.27
i: 2, j: 5, kIndex: 14, s: 0.14, tVec[5]: 0.27, c: 0.96, r: -0.69, matrixXY[14]: -0.63
i: 3, j: 4, kIndex: 16, s: -0.02, tVec[4]: 0.08, c: 1.00, r: -0.28, matrixXY[16]: -0.28
i: 3, j: 5, kIndex: 17, s: -0.02, tVec[5]: 0.46, c: 1.00, r: -0.04, matrixXY[17]: -0.05
i: 4, j: 5, kIndex: 19, s: 0.03, tVec[5]: 0.46, c: 1.00, r: -0.51, matrixXY[19]: -0.49
i: 0, j: 1, kIndex: 1, s: -0.25, tVec[1]: -0.33, c: 0.92, r: -0.36, matrixXY[1]: -0.25
i: 0, j: 2, kIndex: 2, s: -0.25, tVec[2]: 0.00, c: 0.92, r: -0.27, matrixXY[2]: -0.25
i: 0, j: 3, kIndex: 3, s: -0.25, tVec[3]: 0.00, c: 0.92, r: 0.00, matrixXY[3]: 0.00
i: 0, j: 4, kIndex: 4, s: -0.25, tVec[4]: 0.00, c: 0.92, r: 0.00, matrixXY[4]: 0.00
i: 0, j: 5, kIndex: 5, s: -0.25, tVec[5]: 0.00, c: 0.92, r: -0.27, matrixXY[5]: -0.25
i: 1, j: 2, kIndex: 7, s: -0.33, tVec[2]: -0.09, c: 0.85, r: -0.11, matrixXY[7]: -0.07
i: 1, j: 3, kIndex: 8, s: -0.33, tVec[3]: 0.00, c: 0.85, r: -0.31, matrixXY[8]: -0.27
i: 1, j: 4, kIndex: 9, s: -0.33, tVec[4]: 0.00, c: 0.85, r: 0.00, matrixXY[9]: 0.00
i: 1, j: 5, kIndex: 10, s: -0.33, tVec[5]: -0.09, c: 0.85, r: -0.11, matrixXY[10]: -0.07
i: 2, j: 3, kIndex: 12, s: -0.09, tVec[3]: -0.14, c: 0.99, r: -0.03, matrixXY[12]: -0.02
i: 2, j: 4, kIndex: 13, s: -0.09, tVec[4]: 0.00, c: 0.99, r: -0.27, matrixXY[13]: -0.27
i: 2, j: 5, kIndex: 14, s: -0.09, tVec[5]: -0.14, c: 0.99, r: -0.63, matrixXY[14]: -0.61
i: 3, j: 4, kIndex: 16, s: -0.09, tVec[4]: -0.04, c: 0.99, r: -0.28, matrixXY[16]: -0.27
i: 3, j: 5, kIndex: 17, s: -0.09, tVec[5]: -0.23, c: 0.99, r: -0.05, matrixXY[17]: -0.03
i: 4, j: 5, kIndex: 19, s: -0.05, tVec[5]: -0.24, c: 1.00, r: -0.49, matrixXY[19]: -0.47
i: 0, j: 1, kIndex: 1, s: -0.23, tVec[1]: 0.00, c: 0.92, r: -0.25, matrixXY[1]: -0.23
i: 0, j: 2, kIndex: 2, s: -0.23, tVec[2]: 0.67, c: 0.92, r: -0.25, matrixXY[2]: -0.38
i: 0, j: 3, kIndex: 3, s: -0.23, tVec[3]: 0.00, c: 0.92, r: 0.00, matrixXY[3]: 0.00
i: 0, j: 4, kIndex: 4, s: -0.23, tVec[4]: 0.00, c: 0.92, r: 0.00, matrixXY[4]: 0.00
i: 0, j: 5, kIndex: 5, s: -0.23, tVec[5]: -0.33, c: 0.92, r: -0.25, matrixXY[5]: -0.15
i: 1, j: 2, kIndex: 7, s: -0.06, tVec[2]: 0.58, c: 0.99, r: -0.07, matrixXY[7]: -0.10
i: 1, j: 3, kIndex: 8, s: -0.06, tVec[3]: 0.00, c: 0.99, r: -0.27, matrixXY[8]: -0.27
i: 1, j: 4, kIndex: 9, s: -0.06, tVec[4]: 0.00, c: 0.99, r: 0.00, matrixXY[9]: 0.00
i: 1, j: 5, kIndex: 10, s: -0.06, tVec[5]: -0.42, c: 0.99, r: -0.07, matrixXY[10]: -0.04
i: 2, j: 3, kIndex: 12, s: 0.34, tVec[3]: -0.02, c: 0.80, r: -0.02, matrixXY[12]: -0.02
i: 2, j: 4, kIndex: 13, s: 0.34, tVec[4]: 0.00, c: 0.80, r: -0.27, matrixXY[13]: -0.21
i: 2, j: 5, kIndex: 14, s: 0.34, tVec[5]: -0.42, c: 0.80, r: -0.61, matrixXY[14]: -0.63
i: 3, j: 4, kIndex: 16, s: -0.01, tVec[4]: 0.15, c: 1.00, r: -0.27, matrixXY[16]: -0.27
i: 3, j: 5, kIndex: 17, s: -0.01, tVec[5]: -0.07, c: 1.00, r: -0.03, matrixXY[17]: -0.03
i: 4, j: 5, kIndex: 19, s: 0.10, tVec[5]: -0.07, c: 0.99, r: -0.47, matrixXY[19]: -0.47
i: 0, j: 1, kIndex: 1, s: -0.21, tVec[1]: 0.00, c: 0.93, r: -0.23, matrixXY[1]: -0.21
i: 0, j: 2, kIndex: 2, s: -0.21, tVec[2]: -0.33, c: 0.93, r: -0.38, matrixXY[2]: -0.29
i: 0, j: 3, kIndex: 3, s: -0.21, tVec[3]: 0.00, c: 0.93, r: 0.00, matrixXY[3]: 0.00
i: 0, j: 4, kIndex: 4, s: -0.21, tVec[4]: 0.00, c: 0.93, r: 0.00, matrixXY[4]: 0.00
i: 0, j: 5, kIndex: 5, s: -0.21, tVec[5]: 0.67, c: 0.93, r: -0.15, matrixXY[5]: -0.29
i: 1, j: 2, kIndex: 7, s: -0.06, tVec[2]: -0.46, c: 1.00, r: -0.10, matrixXY[7]: -0.08
i: 1, j: 3, kIndex: 8, s: -0.06, tVec[3]: 0.00, c: 1.00, r: -0.27, matrixXY[8]: -0.26
i: 1, j: 4, kIndex: 9, s: -0.06, tVec[4]: 0.00, c: 1.00, r: 0.00, matrixXY[9]: 0.00
i: 1, j: 5, kIndex: 10, s: -0.06, tVec[5]: 0.62, c: 1.00, r: -0.04, matrixXY[10]: -0.08
i: 2, j: 3, kIndex: 12, s: -0.25, tVec[3]: -0.02, c: 0.88, r: -0.02, matrixXY[12]: -0.01
i: 2, j: 4, kIndex: 13, s: -0.25, tVec[4]: 0.00, c: 0.88, r: -0.21, matrixXY[13]: -0.19
i: 2, j: 5, kIndex: 14, s: -0.25, tVec[5]: 0.61, c: 0.88, r: -0.63, matrixXY[14]: -0.71
i: 3, j: 4, kIndex: 16, s: -0.02, tVec[4]: -0.10, c: 1.00, r: -0.27, matrixXY[16]: -0.27
i: 3, j: 5, kIndex: 17, s: -0.02, tVec[5]: 0.32, c: 1.00, r: -0.03, matrixXY[17]: -0.03
i: 4, j: 5, kIndex: 19, s: -0.08, tVec[5]: 0.31, c: 0.99, r: -0.47, matrixXY[19]: -0.49
i: 0, j: 1, kIndex: 1, s: 0.33, tVec[1]: 0.00, c: 0.78, r: -0.21, matrixXY[1]: -0.17
i: 0, j: 2, kIndex: 2, s: 0.33, tVec[2]: -0.33, c: 0.78, r: -0.29, matrixXY[2]: -0.33
i: 0, j: 3, kIndex: 3, s: 0.33, tVec[3]: 0.00, c: 0.78, r: 0.00, matrixXY[3]: 0.00
i: 0, j: 4, kIndex: 4, s: 0.33, tVec[4]: 0.00, c: 0.78, r: 0.00, matrixXY[4]: 0.00
i: 0, j: 5, kIndex: 5, s: 0.33, tVec[5]: -0.33, c: 0.78, r: -0.29, matrixXY[5]: -0.33
i: 1, j: 2, kIndex: 7, s: 0.09, tVec[2]: -0.14, c: 0.99, r: -0.08, matrixXY[7]: -0.09
i: 1, j: 3, kIndex: 8, s: 0.09, tVec[3]: 0.00, c: 0.99, r: -0.26, matrixXY[8]: -0.26
i: 1, j: 4, kIndex: 9, s: 0.09, tVec[4]: 0.00, c: 0.99, r: 0.00, matrixXY[9]: 0.00
i: 1, j: 5, kIndex: 10, s: 0.09, tVec[5]: -0.14, c: 0.99, r: -0.08, matrixXY[10]: -0.09
i: 2, j: 3, kIndex: 12, s: -0.06, tVec[3]: 0.04, c: 0.99, r: -0.01, matrixXY[12]: -0.02
i: 2, j: 4, kIndex: 13, s: -0.06, tVec[4]: 0.00, c: 0.99, r: -0.19, matrixXY[13]: -0.19
i: 2, j: 5, kIndex: 14, s: -0.06, tVec[5]: -0.13, c: 0.99, r: -0.71, matrixXY[14]: -0.70
i: 3, j: 4, kIndex: 16, s: 0.02, tVec[4]: -0.03, c: 1.00, r: -0.27, matrixXY[16]: -0.27
i: 3, j: 5, kIndex: 17, s: 0.02, tVec[5]: -0.23, c: 1.00, r: -0.03, matrixXY[17]: -0.04
i: 4, j: 5, kIndex: 19, s: -0.01, tVec[5]: -0.22, c: 1.00, r: -0.49, matrixXY[19]: -0.49
i: 1, j: 2, kIndex: 7, s: -0.24, tVec[2]: 0.00, c: 0.92, r: -0.09, matrixXY[7]: -0.08
i: 1, j: 3, kIndex: 8, s: -0.24, tVec[3]: -0.33, c: 0.92, r: -0.26, matrixXY[8]: -0.16
i: 1, j: 4, kIndex: 9, s: -0.24, tVec[4]: 0.67, c: 0.92, r: 0.00, matrixXY[9]: -0.16
i: 1, j: 5, kIndex: 10, s: -0.24, tVec[5]: 0.00, c: 0.92, r: -0.09, matrixXY[10]: -0.08
i: 2, j: 3, kIndex: 12, s: -0.02, tVec[3]: -0.42, c: 1.00, r: -0.02, matrixXY[12]: -0.01
i: 2, j: 4, kIndex: 13, s: -0.02, tVec[4]: 0.67, c: 1.00, r: -0.19, matrixXY[13]: -0.20
i: 2, j: 5, kIndex: 14, s: -0.02, tVec[5]: -0.03, c: 1.00, r: -0.70, matrixXY[14]: -0.70
i: 3, j: 4, kIndex: 16, s: -0.27, tVec[4]: 0.66, c: 0.88, r: -0.27, matrixXY[16]: -0.42
i: 3, j: 5, kIndex: 17, s: -0.27, tVec[5]: -0.05, c: 0.88, r: -0.04, matrixXY[17]: -0.02
i: 4, j: 5, kIndex: 19, s: 0.31, tVec[5]: -0.07, c: 0.83, r: -0.49, matrixXY[19]: -0.43
i: 1, j: 2, kIndex: 7, s: -0.22, tVec[2]: 0.00, c: 0.93, r: -0.08, matrixXY[7]: -0.07
i: 1, j: 3, kIndex: 8, s: -0.22, tVec[3]: 0.67, c: 0.93, r: -0.16, matrixXY[8]: -0.30
i: 1, j: 4, kIndex: 9, s: -0.22, tVec[4]: -0.33, c: 0.93, r: -0.16, matrixXY[9]: -0.07
i: 1, j: 5, kIndex: 10, s: -0.22, tVec[5]: 0.00, c: 0.93, r: -0.08, matrixXY[10]: -0.07
i: 2, j: 3, kIndex: 12, s: -0.01, tVec[3]: 0.61, c: 1.00, r: -0.01, matrixXY[12]: -0.02
i: 2, j: 4, kIndex: 13, s: -0.01, tVec[4]: -0.39, c: 1.00, r: -0.20, matrixXY[13]: -0.19
i: 2, j: 5, kIndex: 14, s: -0.01, tVec[5]: -0.03, c: 1.00, r: -0.70, matrixXY[14]: -0.70
i: 3, j: 4, kIndex: 16, s: 0.32, tVec[4]: -0.39, c: 0.80, r: -0.42, matrixXY[16]: -0.47
i: 3, j: 5, kIndex: 17, s: 0.32, tVec[5]: -0.05, c: 0.80, r: -0.02, matrixXY[17]: -0.03
i: 4, j: 5, kIndex: 19, s: -0.07, tVec[5]: -0.03, c: 0.99, r: -0.43, matrixXY[19]: -0.42
i: 1, j: 2, kIndex: 7, s: 0.34, tVec[2]: 0.00, c: 0.77, r: -0.07, matrixXY[7]: -0.06
i: 1, j: 3, kIndex: 8, s: 0.34, tVec[3]: -0.33, c: 0.77, r: -0.30, matrixXY[8]: -0.34
i: 1, j: 4, kIndex: 9, s: 0.34, tVec[4]: -0.33, c: 0.77, r: -0.07, matrixXY[9]: -0.17
i: 1, j: 5, kIndex: 10, s: 0.34, tVec[5]: 0.00, c: 0.77, r: -0.07, matrixXY[10]: -0.06
i: 2, j: 3, kIndex: 12, s: 0.02, tVec[3]: -0.14, c: 1.00, r: -0.02, matrixXY[12]: -0.02
i: 2, j: 4, kIndex: 13, s: 0.02, tVec[4]: -0.28, c: 1.00, r: -0.19, matrixXY[13]: -0.20
i: 2, j: 5, kIndex: 14, s: 0.02, tVec[5]: 0.05, c: 1.00, r: -0.70, matrixXY[14]: -0.69
i: 3, j: 4, kIndex: 16, s: -0.06, tVec[4]: -0.27, c: 0.99, r: -0.47, matrixXY[16]: -0.45
i: 3, j: 5, kIndex: 17, s: -0.06, tVec[5]: 0.08, c: 0.99, r: -0.03, matrixXY[17]: -0.04
i: 4, j: 5, kIndex: 19, s: -0.17, tVec[5]: 0.08, c: 0.94, r: -0.42, matrixXY[19]: -0.41
BEGIN LOOP xcur: 0
delta: 0.483311

---------
T after findDeltaBlock
2.000000 -0.166667 -0.333333 0.000000 0.000000 -0.333333 1.944444 -0.057143 -0.342857 -0.171429 -0.057143 1.771429 -0.021505 -0.198925 -0.693548 1.770609 -0.445344 -0.036437 1.521592 -0.411086 0.659867 
---------

---------
Tip after findDeltaBlock
0.707107 0.119523 0.717137 0.257603 0.042934 0.751343 0.048485 0.258586 0.016162 0.751517 0.101746 0.272416 0.169029 0.361033 0.810683 0.781205 0.304621 0.960265 0.270228 0.506063 1.231039 
---------

---------
B before exchange
0 2 4 
6 3 1 
5 0 4 
3 5 6 
2 1 0 
3 6 1 
5 4 2 
---------

---------
xmi
0.000000 0.333333 0.000000 0.333333 0.000000 0.000000 
---------

---------
xmj
0.333333 0.000000 0.333333 0.000000 0.000000 0.333333 
---------

---------
xri
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
---------

---------
xrj
0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 
---------

---------
T before rotate
2.000000 -0.166667 -0.333333 0.000000 0.000000 -0.333333 1.944444 -0.057143 -0.342857 -0.171429 -0.057143 1.771429 -0.021505 -0.198925 -0.693548 1.770609 -0.445344 -0.036437 1.521592 -0.411086 0.659867 
---------
i: 0, j: 1, kIndex: 1, s: 0.16, tVec[1]: -0.33, c: 0.95, r: -0.17, matrixXY[1]: -0.21
i: 0, j: 2, kIndex: 2, s: 0.16, tVec[2]: 0.33, c: 0.95, r: -0.33, matrixXY[2]: -0.26
i: 0, j: 3, kIndex: 3, s: 0.16, tVec[3]: -0.33, c: 0.95, r: 0.00, matrixXY[3]: -0.05
i: 0, j: 4, kIndex: 4, s: 0.16, tVec[4]: 0.00, c: 0.95, r: 0.00, matrixXY[4]: 0.00
i: 0, j: 5, kIndex: 5, s: 0.16, tVec[5]: 0.33, c: 0.95, r: -0.33, matrixXY[5]: -0.26
i: 1, j: 2, kIndex: 7, s: -0.13, tVec[2]: 0.44, c: 0.96, r: -0.06, matrixXY[7]: -0.11
i: 1, j: 3, kIndex: 8, s: -0.13, tVec[3]: -0.33, c: 0.96, r: -0.34, matrixXY[8]: -0.29
i: 1, j: 4, kIndex: 9, s: -0.13, tVec[4]: 0.00, c: 0.96, r: -0.17, matrixXY[9]: -0.17
i: 1, j: 5, kIndex: 10, s: -0.13, tVec[5]: 0.44, c: 0.96, r: -0.06, matrixXY[10]: -0.11
i: 2, j: 3, kIndex: 12, s: 0.20, tVec[3]: -0.43, c: 0.91, r: -0.02, matrixXY[12]: -0.11
i: 2, j: 4, kIndex: 13, s: 0.20, tVec[4]: -0.05, c: 0.91, r: -0.20, matrixXY[13]: -0.19
i: 2, j: 5, kIndex: 14, s: 0.20, tVec[5]: 0.43, c: 0.91, r: -0.69, matrixXY[14]: -0.55
i: 3, j: 4, kIndex: 16, s: -0.18, tVec[4]: 0.04, c: 0.92, r: -0.45, matrixXY[16]: -0.42
i: 3, j: 5, kIndex: 17, s: -0.18, tVec[5]: 0.73, c: 0.92, r: -0.04, matrixXY[17]: -0.17
i: 4, j: 5, kIndex: 19, s: -0.07, tVec[5]: 0.71, c: 0.99, r: -0.41, matrixXY[19]: -0.46

---------
T after rotate
2.111111 -0.210526 -0.263158 -0.052632 0.000000 -0.263158 2.017544 -0.113043 -0.286957 -0.165217 -0.113043 1.939130 -0.106129 -0.191330 -0.547085 1.917289 -0.418139 -0.166060 1.538721 -0.459551 0.980915 
---------

---------
T before rotate
2.111111 -0.210526 -0.263158 -0.052632 0.000000 -0.263158 2.017544 -0.113043 -0.286957 -0.165217 -0.113043 1.939130 -0.106129 -0.191330 -0.547085 1.917289 -0.418139 -0.166060 1.538721 -0.459551 0.980915 
---------
i: 0, j: 1, kIndex: 1, s: -0.17, tVec[1]: -0.33, c: 1.06, r: -0.21, matrixXY[1]: -0.17
i: 0, j: 2, kIndex: 2, s: -0.17, tVec[2]: 0.33, c: 1.06, r: -0.26, matrixXY[2]: -0.33
i: 0, j: 3, kIndex: 3, s: -0.17, tVec[3]: -0.33, c: 1.06, r: -0.05, matrixXY[3]: 0.00
i: 0, j: 4, kIndex: 4, s: -0.17, tVec[4]: 0.00, c: 1.06, r: 0.00, matrixXY[4]: 0.00
i: 0, j: 5, kIndex: 5, s: -0.17, tVec[5]: -0.67, c: 1.06, r: -0.26, matrixXY[5]: -0.17
i: 1, j: 2, kIndex: 7, s: 0.14, tVec[2]: 0.42, c: 1.04, r: -0.11, matrixXY[7]: -0.06
i: 1, j: 3, kIndex: 8, s: 0.14, tVec[3]: -0.32, c: 1.04, r: -0.29, matrixXY[8]: -0.34
